Animal,Scientific Name,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth
Tuatara,Sphenodon punctatus,80,Up to 1.5,Grayish-brown,Up to 100,"Carnivore, Insectivore","Islands, Coastal Areas","Rats, Cats",0.03,New Zealand,Vulnerable,Rhynchocephalia,12 to 15,5,Solitary,Up to 16
Uakari,Cacajao,46 to 56,2 to 3,"Bald, Red",10 to 15,Omnivore,Rainforests,"Jaguars, Snakes",20,Amazon Basin,Vulnerable,Pitheciidae,120 to 130,20,Group-based,1 to 6
Ussuri Dhole,Cuon alpinus alpinus,50 to 55,12 to 21,"Red, Brown",10 to 15,Carnivore,"Forests, Grasslands","Tigers, Leopards",56,Asia,Endangered,Canidae,60 to 63,56,Pack-based,4 to 8
Vampire Bat,Desmodontinae,9,Up to 0.05,Brown,8 to 12,Carnivore,"Caves, Forests","Hawks, Owls",24 to 40,Americas,Least Concern,Phyllostomidae,50 to 70,24 to 40,Colony-based,1
Vaquita,Phocoena sinus,150,Up to 55,"Grey, White",20 to 21,Carnivore,Gulf of California,"Nets, Sharks",10,"Gulf of California, Mexico",Critically Endangered,Phocoenidae,10 to 11 months,20,Solitary,1
Walrus,Odobenus rosmarus,220 to 360,Up to 1200,Brown,40 to 50,Carnivore,"Arctic, Coastal Areas","Polar Bears, Orcas",40,"Arctic, Subarctic",Least Concern,Odobenidae,20 to 25,40,Group-based,Up to 200
Warthog,Phacochoerus africanus,85 to 150,60 to 150,"Brown, Black",15 to 20,Omnivore,"Savannahs, Grasslands","Lions, Leopards",20,Sub-Saharan Africa,Least Concern,Suidae,160 to 220,20,Group-based,4 to 32
Water Buffalo,Bubalus bubalis,200 to 300,300 to 1200,Dark Gray,20 to 25,Herbivore,"Grasslands, Wetlands","Tigers, Crocodiles",40,"Asia, Africa",Least Concern,Bovidae,240 to 270,40,Group-based,30 to 500
Western Gorilla,Gorilla gorilla,140 to 200,68 to 182,Black,30 to 40,Herbivore,Rainforests,"Leopards, Humans",40,Central Africa,Critically Endangered,Hominidae,220 to 270,40,Social groups,1
Western Lowland Gorilla,Gorilla gorilla gorilla,140 to 200,68 to 181,Black,30 to 40,Herbivore,Rainforests,"Leopards, Humans",40,Central Africa,Critically Endangered,Hominidae,220 to 270,40,Social groups,1
Whale Shark,Rhincodon typus,1800,Up to 1500,"Gray, White",70 to 100,Filter Feeder,Oceans,None (Apex Predator),70,Worldwide,Endangered,Rhincodontidae,100 to 150,70,Solitary,1
White Rhinoceros,Ceratotherium simum,1400 to 2300,1800 to 2500,Gray,40 to 50,Herbivore,Grasslands,"Lions, Hyenas",45,Eastern and Southern Africa,Near Threatened,Rhinocerotidae,240 to 300,45,Group-based,1 to 14
White Tiger,Panthera tigris tigris,240 to 260,100 to 300,"White, Black Stripes",10 to 15,Carnivore,Rainforests,"Humans, Leopards",22,"India, Southeast Asia",Critically Endangered,Felidae,230 to 260,22,Solitary,1
Wild Ass,Equus africanus,100 to 140,200 to 290,Sandy-brown,14,Herbivore,"Deserts, Grasslands",Wolves,40,"India, Asia,Africa",Near Threatened,Equidae,330,70,Herds,1
Wild Boar,Sus scrofa,65 to 100,30 to 120,"Brown, Black",10 to 25,Omnivore,"Forests, Grasslands","Tigers, Leopards",20,"Eurasia, North Africa, Americas",Least Concern,Suidae,160 to 190,20,Group-based,6 to 30
Wild Water Buffalo,Bubalus arnee,150 to 190,700 to 1200,Dark Grey,25,Herbivore,"Swamps, Forests","Tigers, Crocodiles",25,"India, Southeast Asia",Endangered,Bovidae,300 to 340,48,Herds,1
Wildebeest,Connochaetes,170 to 250,200 to 390,"Gray, Black,Blue",20 to 25,Herbivore,Grasslands,"Lions, Crocodiles",47,Eastern and Southern Africa,Least Concern,Bovidae,240 to 270,47,Group-based,1 to 1000
Wisent,Bison bonasus,180 to 210,400 to 1000,Dark Brown,20 to 25,Herbivore,"Forests, Grasslands",Wolves,25,Europe,Near Threatened,Bovidae,264,60,Herds,1
Wolf,Canis lupus,66 to 81,23 to 80,"Gray, White",8 to 13,Carnivore,"Forests, Grasslands","Bears, Humans",45,"Eurasia, North America, North Africa",Least Concern,Canidae,90 to 160,45,Group-based,2 to 20
Wolverine,Gulo gulo,30 to 45,9 to 25,Dark Brown,7 to 12,"Carnivore, Scavenger","Boreal Forests, Tundra","Bears, Wolves",56 to 70,"North America, Europe, Asia",Least Concern,Mustelidae,40 to 45,56 to 70,Solitary,2 to 3
Wombat,Vombatidae,84 to 118,20 to 35,"Brown, Gray",5 to 10,Herbivore,"Forests, Grasslands","Dingoes, Tasmanian Devils",20,Australia,Least Concern,Vombatidae,126 to 138,20,Solitary,1
Yak,Bos grunniens,140 to 160,500 to 1200,"Brown, Black",20 to 25,Herbivore,Mountains,"Snow Leopards, Wolves",24,"Himalayas, Central Asia",Least Concern,Bovidae,215 to 280,24,Group-based,10 to 50
Zebra Shark,Stegostoma tigrinum,330,Up to 32,"Brown, Yellowish",25 to 30,Carnivore,Coral Reefs,Larger Fish,20,Indo-Pacific region,Endangered,Stegostomatidae,10 to 25,20,Solitary,Up to 25
